underlying,strike,ko_type,ko_barrier,coupon_pa,tenor,barrier_type,ki_barrier
700 HK,90,Period End,105,6.21,6,NONE,
700 HK,90,Period End,105,9.01,9,NONE,
700 HK,90,Period End,105,10.49,12,NONE,
700 HK,90,Period End,100,4.51,6,NONE,
700 HK,90,Period End,100,6.95,9,NONE,
700 HK,90,Period End,100,8.21,12,NONE,
700 HK,85,Period End,105,1.79,6,NONE,
700 HK,85,Period End,105,4.54,9,NONE,
700 HK,85,Period End,105,6.05,12,NONE,
700 HK,85,Period End,100,2.77,9,NONE,
700 HK,85,Period End,100,4.2,12,NONE,
700 HK,80,Period End,105,1.78,9,NONE,
700 HK,80,Period End,105,3.24,12,NONE,
700 HK,80,Period End,100,1.64,12,NONE,
700 HK,90,Period End,105,1.83,6,EKI,78
700 HK,90,Period End,105,5.78,9,EKI,78
700 HK,90,Period End,105,8.06,12,EKI,78
700 HK,90,Period End,100,4.04,9,EKI,78
700 HK,90,Period End,100,6.13,12,EKI,78
700 HK,85,Period End,105,3.47,9,EKI,78
700 HK,85,Period End,105,5.24,12,EKI,78
700 HK,85,Period End,100,1.83,9,EKI,78
700 HK,85,Period End,100,3.47,12,EKI,78
700 HK,80,Period End,105,1.62,9,EKI,78
700 HK,80,Period End,105,3.13,12,EKI,78
700 HK,80,Period End,100,1.52,12,EKI,78
700 HK,90,Period End,105,4.29,9,EKI,75
700 HK,90,Period End,105,6.77,12,EKI,75
700 HK,90,Period End,100,2.55,9,EKI,75
700 HK,90,Period End,100,4.91,12,EKI,75
700 HK,85,Period End,105,2.64,9,EKI,75
700 HK,85,Period End,105,4.54,12,EKI,75
700 HK,85,Period End,100,1.02,9,EKI,75
700 HK,85,Period End,100,2.82,12,EKI,75
700 HK,80,Period End,105,1.25,9,EKI,75
700 HK,80,Period End,105,2.83,12,EKI,75
700 HK,80,Period End,100,1.24,12,EKI,75
700 HK,90,Period End,105,3.75,6,AKI,78
700 HK,90,Period End,105,7.87,9,AKI,78
700 HK,90,Period End,105,9.94,12,AKI,78
700 HK,90,Period End,100,2.45,6,AKI,78
700 HK,90,Period End,100,6.22,9,AKI,78
700 HK,90,Period End,100,7.94,12,AKI,78
700 HK,85,Period End,105,1.17,6,AKI,78
700 HK,85,Period End,105,4.26,9,AKI,78
700 HK,85,Period End,105,5.92,12,AKI,78
700 HK,85,Period End,100,2.59,9,AKI,78
700 HK,85,Period End,100,4.14,12,AKI,78
700 HK,80,Period End,105,1.76,9,AKI,78
700 HK,80,Period End,105,3.23,12,AKI,78
700 HK,80,Period End,100,1.64,12,AKI,78
700 HK,90,Period End,105,2.25,6,AKI,75
700 HK,90,Period End,105,6.8,9,AKI,75
700 HK,90,Period End,105,9.24,12,AKI,75
700 HK,90,Period End,100,5.29,9,AKI,75
700 HK,90,Period End,100,7.46,12,AKI,75
700 HK,85,Period End,105,3.8,9,AKI,75
700 HK,85,Period End,105,5.65,12,AKI,75
700 HK,85,Period End,100,2.23,9,AKI,75
